step,recon_mse,recon_l1,psnr,ssim,lpips
2500,0.10128017514944077,0.24771708250045776,15.96535587310791,0.3847956657409668,0.46174269914627075
5000,0.0180808138102293,0.1011306643486023,23.44841957092285,0.8355695605278015,0.1023293286561966
7500,0.07281499356031418,0.203413724899292,17.398391723632812,0.46661338210105896,0.36869028210639954
10000,0.06314420700073242,0.1821219027042389,18.01726531982422,0.48883387446403503,0.323612242937088
12500,0.022422216832637787,0.10843329131603241,22.513813018798828,0.7198033332824707,0.16716930270195007
15000,0.016735736280679703,0.10098385065793991,23.78415298461914,0.8273561000823975,0.07985402643680573
17500,0.030700214207172394,0.12366645038127899,21.149187088012695,0.7460616827011108,0.17010578513145447
20000,0.020507482811808586,0.10038643330335617,22.90147590637207,0.7500485181808472,0.13328424096107483
22500,0.02315279096364975,0.10789698362350464,22.374568939208984,0.7439206838607788,0.14096814393997192
25000,0.058817338198423386,0.17823076248168945,18.325546264648438,0.5351960062980652,0.2939857244491577
27500,0.05856593698263168,0.1714278757572174,18.34415054321289,0.5293249487876892,0.2967989444732666
30000,0.04948101565241814,0.15988804399967194,19.076213836669922,0.5373274087905884,0.2735949754714966
32500,0.053864847868680954,0.16732120513916016,18.707544326782227,0.5491704940795898,0.26599350571632385
35000,0.009255290031433105,0.07006480544805527,26.356698989868164,0.8817175626754761,0.06648562848567963
37500,0.010448575019836426,0.07347364723682404,25.83003044128418,0.8742412328720093,0.06471863389015198
40000,0.006608594208955765,0.05870330333709717,27.819509506225586,0.8854349851608276,0.046653784811496735
40000,0.006608594208955765,0.05870330333709717,27.819509506225586,0.8854349851608276,0.046653784811496735
42500,0.01215769536793232,0.08255522698163986,25.172088623046875,0.8757928609848022,0.06360892951488495
45000,0.017360523343086243,0.10244809091091156,23.62497329711914,0.8685873746871948,0.07109910994768143
47500,0.11121716350317001,0.2509257197380066,15.558881759643555,0.44109904766082764,0.34782910346984863
50000,0.03585660830140114,0.1429046094417572,20.47490882873535,0.8199504613876343,0.12124800682067871
